Model variation sensor

# GHI_sensor: GHI
# sky_model_inf: isotropic
# sky_model_simple: isotropic
# shadow_interpolate: true
# temp_sensor: default
# spectral_mismatch_model: None
# wind_sensor: default
# RH_sensor: default
# shadow: False
# inverter_model: Sandia
# model_perez: allsitescomposite1990
# mount_type: Tilted
# iam_apply: False
# inverter_limit: True
# DNI_model: simple
# transposition: simple
model,GHIback
number data,3052.0
nRMSE,73.31981326210514
R^2,0.687
slope,0.4853949430945321
offset,15.98770339804947
nRMSE_adjusted,27.42968197568111

# GHI_sensor: SPN1
# sky_model_inf: isotropic
# sky_model_simple: isotropic
# shadow_interpolate: true
# temp_sensor: default
# spectral_mismatch_model: None
# wind_sensor: default
# RH_sensor: default
# shadow: False
# inverter_model: Sandia
# model_perez: allsitescomposite1990
# mount_type: Tilted
# iam_apply: False
# inverter_limit: True
# DNI_model: simple
# transposition: simple
model,SPN1back
number data,6909.0
nRMSE,92.99342882369704
R^2,0.862
slope,0.5076469790015066
offset,8.47874050261157
nRMSE_adjusted,28.85533038620098

# model_dict is not a dictionary, skipping...
model,back
number data,
nRMSE,
R^2,
slope,
offset,
nRMSE_adjusted,

# model_dict is not a dictionary, skipping...
model,back
number data,
nRMSE,
R^2,
slope,
offset,
nRMSE_adjusted,

