Model variation spectrum

# GHI_sensor: SPN1
# sky_model_inf: isotropic
# sky_model_simple: isotropic
# shadow_interpolate: true
# temp_sensor: default
# spectral_mismatch_model: None
# wind_sensor: default
# RH_sensor: default
# shadow: False
# inverter_model: Sandia
# model_perez: allsitescomposite1990
# mount_type: Tilted
# iam_apply: False
# inverter_limit: True
# DNI_model: simple
# transposition: simple
model,noneback
number data,8929.0
nRMSE,233.34778979223194
R^2,0.239
slope,0.6414592172616952
offset,7.563761489446132
nRMSE_adjusted,222.07756789344648

# GHI_sensor: SPN1
# sky_model_inf: isotropic
# sky_model_simple: isotropic
# shadow_interpolate: true
# temp_sensor: default
# spectral_mismatch_model: Sandia
# wind_sensor: default
# RH_sensor: default
# shadow: False
# inverter_model: Sandia
# model_perez: allsitescomposite1990
# mount_type: Tilted
# iam_apply: False
# inverter_limit: True
# DNI_model: simple
# transposition: simple
model,Sandiaback
number data,8929.0
nRMSE,233.42725126093575
R^2,0.239
slope,0.638716453357666
offset,7.920621052396363
nRMSE_adjusted,222.09654627957391

# GHI_sensor: SPN1
# sky_model_inf: isotropic
# sky_model_simple: isotropic
# shadow_interpolate: true
# temp_sensor: default
# spectral_mismatch_model: Gueymard
# wind_sensor: default
# RH_sensor: default
# shadow: False
# inverter_model: Sandia
# model_perez: allsitescomposite1990
# mount_type: Tilted
# iam_apply: False
# inverter_limit: True
# DNI_model: simple
# transposition: simple
model,Gueymardback
number data,8929.0
nRMSE,233.2838653132191
R^2,0.238
slope,0.6435546479305374
offset,7.424335179689705
nRMSE_adjusted,222.20190635044443

# model_dict is not a dictionary, skipping...
model,back
number data,
nRMSE,
R^2,
slope,
offset,
nRMSE_adjusted,

