Model variation spectrum

# GHI_sensor: SPN1
# sky_model_inf: isotropic
# sky_model_simple: isotropic
# shadow_interpolate: true
# temp_sensor: default
# spectral_mismatch_model: None
# wind_sensor: default
# RH_sensor: default
# shadow: False
# inverter_model: Sandia
# model_perez: allsitescomposite1990
# mount_type: Tilted
# iam_apply: SAPM
# inverter_limit: True
# DNI_model: simple
# transposition: simple
model,Nonefront
number data,6909.0
nRMSE,10.264177386934438
R^2,0.991
slope,1.00787606284866
offset,5.353979825381268
nRMSE_adjusted,9.855280960414573

# GHI_sensor: SPN1
# sky_model_inf: isotropic
# sky_model_simple: isotropic
# shadow_interpolate: true
# temp_sensor: default
# spectral_mismatch_model: Sandia
# wind_sensor: default
# RH_sensor: default
# shadow: False
# inverter_model: Sandia
# model_perez: allsitescomposite1990
# mount_type: Tilted
# iam_apply: SAPM
# inverter_limit: True
# DNI_model: simple
# transposition: simple
model,Sandiafront
number data,6909.0
nRMSE,10.255858231521463
R^2,0.991
slope,1.0082477977509516
offset,4.396096675860415
nRMSE_adjusted,9.926972470211874

# GHI_sensor: SPN1
# sky_model_inf: isotropic
# sky_model_simple: isotropic
# shadow_interpolate: true
# temp_sensor: default
# spectral_mismatch_model: Gueymard
# wind_sensor: default
# RH_sensor: default
# shadow: False
# inverter_model: Sandia
# model_perez: allsitescomposite1990
# mount_type: Tilted
# iam_apply: SAPM
# inverter_limit: True
# DNI_model: simple
# transposition: simple
model,Gueymardfront
number data,6909.0
nRMSE,10.473200922554932
R^2,0.99
slope,1.0127656845894177
offset,1.7188339231388243
nRMSE_adjusted,10.22139292039544

# model_dict is not a dictionary, skipping...
model,front
number data,
nRMSE,
R^2,
slope,
offset,
nRMSE_adjusted,

