DateTime,Maks. snedybde,Højeste,Middel
01-02-24 0:00,,,
01-02-24 7:00,0,,
02-02-24 0:00,,,
02-02-24 7:00,0,,
03-02-24 0:00,,,
03-02-24 7:00,0,,
04-02-24 0:00,,,
04-02-24 7:00,0,,
05-02-24 0:00,,,
05-02-24 7:00,0,,
06-02-24 0:00,,,
06-02-24 7:00,3.6,,
07-02-24 0:00,,,
07-02-24 7:00,1.2,,
08-02-24 0:00,,,
08-02-24 7:00,5,,
09-02-24 0:00,,,
09-02-24 7:00,4,,
10-02-24 0:00,,,
10-02-24 7:00,11,,
11-02-24 0:00,,,
11-02-24 7:00,5,,
12-02-24 0:00,,,
12-02-24 7:00,4.5,,
13-02-24 0:00,,,
13-02-24 7:00,3.7,,
14-02-24 0:00,,,
14-02-24 7:00,1.7,,
15-02-24 0:00,,,
15-02-24 7:00,1.3,,
16-02-24 0:00,,,
16-02-24 7:00,0,,
17-02-24 0:00,,,
17-02-24 7:00,0,,
18-02-24 0:00,,,
18-02-24 7:00,0,,
19-02-24 0:00,,,
19-02-24 7:00,0,,
20-02-24 0:00,,,
20-02-24 7:00,0,,
21-02-24 0:00,,,
21-02-24 7:00,0,,
22-02-24 0:00,,,
22-02-24 7:00,0,,
23-02-24 0:00,,,
23-02-24 7:00,0,,
24-02-24 0:00,,,
24-02-24 7:00,0,,
25-02-24 0:00,,,
25-02-24 7:00,0,,
26-02-24 0:00,,,
26-02-24 7:00,0,,
27-02-24 0:00,,,
27-02-24 7:00,0,,
28-02-24 0:00,,,
28-02-24 7:00,0,,
29-02-24 0:00,,,
29-02-24 7:00,0,,
