DateTime,Maks. snedybde,Højeste,Middel
01-01-24 0:00,,,
01-01-24 7:00,0,,
02-01-24 0:00,,,
02-01-24 7:00,0,,
03-01-24 0:00,,,
03-01-24 7:00,12.7,,
04-01-24 0:00,,,
04-01-24 7:00,29.6,,
05-01-24 0:00,,,
05-01-24 7:00,27.7,,
06-01-24 0:00,,,
06-01-24 7:00,26.9,,
07-01-24 0:00,,,
07-01-24 7:00,25.2,,
08-01-24 0:00,,,
08-01-24 7:00,23.7,,
09-01-24 0:00,,,
09-01-24 7:00,21.7,,
10-01-24 0:00,,,
10-01-24 7:00,19.4,,
11-01-24 0:00,,,
11-01-24 7:00,18.5,,
12-01-24 0:00,,,
12-01-24 7:00,17.9,,
13-01-24 0:00,,,
13-01-24 7:00,11.6,,
14-01-24 0:00,,,
14-01-24 7:00,7.8,,
15-01-24 0:00,,,
15-01-24 7:00,9.5,,
16-01-24 0:00,,,
16-01-24 7:00,9.5,,
17-01-24 0:00,,,
17-01-24 7:00,12,,
18-01-24 0:00,,,
18-01-24 7:00,12.8,,
19-01-24 0:00,,,
19-01-24 7:00,15.1,,
20-01-24 0:00,,,
20-01-24 7:00,9.3,,
21-01-24 0:00,,,
21-01-24 7:00,6.3,,
22-01-24 0:00,,,
22-01-24 7:00,4.4,,
23-01-24 0:00,,,
23-01-24 7:00,1.5,,
24-01-24 0:00,,,
24-01-24 7:00,0,,
25-01-24 0:00,,,
25-01-24 7:00,0,,
26-01-24 0:00,,,
26-01-24 7:00,0,,
27-01-24 0:00,,,
27-01-24 7:00,0,,
28-01-24 0:00,,,
28-01-24 7:00,0,,
29-01-24 0:00,,,
29-01-24 7:00,0,,
30-01-24 0:00,,,
30-01-24 7:00,0,,
31-01-24 0:00,,,
31-01-24 7:00,0,,
