DateTime,Maks. snedybde,Højeste,Middel
01-11-23 0:00,,,
01-11-23 7:00,0,,
02-11-23 0:00,,,
02-11-23 7:00,0,,
03-11-23 0:00,,,
03-11-23 7:00,0,,
04-11-23 0:00,,,
04-11-23 7:00,0,,
05-11-23 0:00,,,
05-11-23 7:00,0,,
06-11-23 0:00,,,
06-11-23 7:00,0,,
07-11-23 0:00,,,
07-11-23 7:00,0,,
08-11-23 0:00,,,
08-11-23 7:00,0,,
09-11-23 0:00,,,
09-11-23 7:00,0,,
10-11-23 0:00,,,
10-11-23 7:00,0,,
11-11-23 0:00,,,
11-11-23 7:00,0,,
12-11-23 0:00,,,
12-11-23 7:00,0,,
13-11-23 0:00,,,
13-11-23 7:00,0,,
14-11-23 0:00,,,
14-11-23 7:00,0,,
15-11-23 0:00,,,
15-11-23 7:00,0,,
16-11-23 0:00,,,
16-11-23 7:00,0,,
17-11-23 0:00,,,
17-11-23 7:00,0,,
18-11-23 0:00,,,
18-11-23 7:00,0,,
19-11-23 0:00,,,
19-11-23 7:00,0,,
20-11-23 0:00,,,
20-11-23 7:00,0,,
21-11-23 0:00,,,
21-11-23 7:00,0,,
22-11-23 0:00,,,
22-11-23 7:00,0,,
23-11-23 0:00,,,
23-11-23 7:00,0,,
24-11-23 0:00,,,
24-11-23 7:00,0,,
25-11-23 0:00,,,
25-11-23 7:00,0,,
26-11-23 0:00,,,
26-11-23 7:00,0,,
27-11-23 0:00,,,
27-11-23 7:00,0.3,,
28-11-23 0:00,,,
28-11-23 7:00,0.1,,
29-11-23 0:00,,,
29-11-23 7:00,1,,
30-11-23 0:00,,,
30-11-23 7:00,9,,
